Red,Green,Blue
0.467,0.290,0.243
0.451,0.292,0.257
0.441,0.297,0.261
0.448,0.295,0.257
0.455,0.297,0.248
0.466,0.295,0.239
0.487,0.282,0.231
0.493,0.275,0.232
0.500,0.278,0.222
0.480,0.280,0.240
0.455,0.273,0.273
0.450,0.300,0.250
0.450,0.300,0.250
0.450,0.300,0.250
0.450,0.300,0.250
0.450,0.300,0.250
0.450,0.300,0.250
0.429,0.286,0.286
0.409,0.318,0.273
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.409,0.318,0.273
0.429,0.286,0.286
0.409,0.318,0.273
0.435,0.304,0.261
0.458,0.292,0.250
0.464,0.286,0.250
0.485,0.273,0.242
0.500,0.278,0.222
0.486,0.286,0.229
0.500,0.281,0.219
0.483,0.276,0.241
0.480,0.280,0.240
0.450,0.300,0.250
0.450,0.300,0.250
0.421,0.316,0.263
0.421,0.316,0.263
0.450,0.300,0.250
0.429,0.286,0.286
0.435,0.304,0.261
0.435,0.304,0.261
0.417,0.292,0.292
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.409,0.318,0.273
0.435,0.304,0.261
0.409,0.318,0.273
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.435,0.304,0.261
0.409,0.318,0.273
0.409,0.318,0.273
0.429,0.286,0.286
0.421,0.316,0.263
0.421,0.316,0.263
0.421,0.316,0.263
0.421,0.316,0.263
0.421,0.316,0.263
0.421,0.316,0.263
0.421,0.316,0.263
0.421,0.316,0.263
0.389,0.333,0.278
0.412,0.294,0.294
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.412,0.294,0.294
0.412,0.294,0.294
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.385,0.308,0.308
0.385,0.308,0.308
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.385,0.308,0.308
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.385,0.308,0.308
0.417,0.333,0.250
0.385,0.308,0.308
0.417,0.333,0.250
0.385,0.308,0.308
0.417,0.333,0.250
0.417,0.333,0.250
0.385,0.308,0.308
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.417,0.333,0.250
0.385,0.308,0.308
0.385,0.308,0.308
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.437,0.312,0.250
0.437,0.312,0.250
0.437,0.312,0.250
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.437,0.312,0.250
0.437,0.312,0.250
0.400,0.333,0.267
0.400,0.333,0.267
0.437,0.312,0.250
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.429,0.286,0.286
0.400,0.333,0.267
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.385,0.308,0.308
0.385,0.308,0.308
0.429,0.286,0.286
0.429,0.286,0.286
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.429,0.286,0.286
0.429,0.286,0.286
0.400,0.333,0.267
0.429,0.286,0.286
0.400,0.333,0.267
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.400,0.333,0.267
0.400,0.333,0.267
0.429,0.286,0.286
0.429,0.286,0.286
0.429,0.286,0.286
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.429,0.286,0.286
0.429,0.286,0.286
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.412,0.294,0.294
0.412,0.294,0.294
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.389,0.333,0.278
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.375,0.312,0.312
0.412,0.294,0.294
0.412,0.294,0.294
0.412,0.294,0.294
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.400,0.333,0.267
0.400,0.333,0.267
0.375,0.312,0.312
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.385,0.308,0.308
0.357,0.357,0.286
0.357,0.357,0.286
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.375,0.312,0.312
0.375,0.312,0.312
0.400,0.333,0.267
0.375,0.312,0.312
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.375,0.312,0.312
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
0.400,0.333,0.267
